event,timestamp_ns
pattern_start,1757936262109922800
fixation_start,1757936262444165100
fixation_end,1757936264445099300
fixation_start,1757936264772439400
fixation_end,1757936266774085500
fixation_start,1757936267102597100
fixation_end,1757936269103257800
fixation_start,1757936269429344500
fixation_end,1757936271430624400
fixation_start,1757936271776808400
fixation_end,1757936273778786900
fixation_start,1757936274115649700
fixation_end,1757936276116556700
fixation_start,1757936276437658300
fixation_end,1757936278439171400
fixation_start,1757936278771605400
fixation_end,1757936280773240200
fixation_start,1757936281095273700
fixation_end,1757936283096804400
pattern_end,1757936285097715900
