event,timestamp_ns
pattern_start,1757936320218559300
fixation_start,1757936320542777300
fixation_end,1757936322543623000
fixation_start,1757936322863703900
fixation_end,1757936324864881800
fixation_start,1757936325198628400
fixation_end,1757936327200433900
fixation_start,1757936327524555200
fixation_end,1757936329525756200
fixation_start,1757936329850055300
fixation_end,1757936331850973600
fixation_start,1757936332185765200
fixation_end,1757936334187354000
fixation_start,1757936334520093600
fixation_end,1757936336521436000
fixation_start,1757936336851418900
fixation_end,1757936338851843200
fixation_start,1757936339186764200
fixation_end,1757936341188498900
fixation_start,1757936341515736500
fixation_end,1757936343517480300
pattern_end,1757936345518404100
