event,timestamp_ns
pattern_start,1757936557698306300
fixation_start,1757936558020358400
fixation_end,1757936560022160600
fixation_start,1757936560341309000
fixation_end,1757936562342728700
fixation_start,1757936562677682900
fixation_end,1757936564678790300
fixation_start,1757936565004057900
fixation_end,1757936567005610300
fixation_start,1757936567352755300
fixation_end,1757936569353688300
fixation_start,1757936569691082700
fixation_end,1757936571692279800
fixation_start,1757936572014899300
fixation_end,1757936574016204300
fixation_start,1757936574361668500
fixation_end,1757936576363094800
fixation_start,1757936576693077800
fixation_end,1757936578693980100
fixation_start,1757936579013554000
fixation_end,1757936581014913600
pattern_end,1757936583015873200
