event,timestamp_ns
pattern_start,1757936530261577000
fixation_start,1757936530588310200
fixation_end,1757936532589814800
fixation_start,1757936532909517000
fixation_end,1757936534910900700
fixation_start,1757936535240335200
fixation_end,1757936537241402800
fixation_start,1757936537567128200
fixation_end,1757936539568877100
fixation_start,1757936539888975300
fixation_end,1757936541890104100
fixation_start,1757936542225778400
fixation_end,1757936544227055900
fixation_start,1757936544549269700
fixation_end,1757936546550719400
fixation_start,1757936546875814500
fixation_end,1757936548876696800
fixation_start,1757936549206138500
fixation_end,1757936551206936600
pattern_end,1757936553207450700
