event,timestamp_ns
pattern_start,1757936588210072700
fixation_start,1757936588531980100
fixation_end,1757936590533248500
fixation_start,1757936590853796600
fixation_end,1757936592854975500
fixation_start,1757936593197657200
fixation_end,1757936595199170100
fixation_start,1757936595518812400
fixation_end,1757936597519561400
fixation_start,1757936597840517300
fixation_end,1757936599842464400
fixation_start,1757936600176580100
fixation_end,1757936602194401000
fixation_start,1757936602521645700
fixation_end,1757936604522822100
fixation_start,1757936604870450500
fixation_end,1757936606871936000
fixation_start,1757936607190878400
fixation_end,1757936609192374500
fixation_start,1757936609528953000
fixation_end,1757936611530480300
pattern_end,1757936613531142300
